Tick, Second, Min, Hour, Day, Month, Year, Num_mkts, onemkt_rev/mo, onemkt_rev/yr, allmkts_rev/mo, allmkts_rev/yr, ocean_rev/mo, ocean_rev/yr, ocean_rev_growth/mo, ocean_rev_growth/yr, ps30_valuation, overall_valuation, fundamentals_valuation, speculation_valuation, tot_OCEAN_supply, tot_OCEAN_minted, tot_OCEAN_burned, OCEAN_minted/mo, OCEAN_burned/mo, OCEAN_minted_USD/mo, OCEAN_burned_USD/mo, OCEAN_price, RND/mo, rnd_to_sales_ratio, mkts_annual_growth_rate, dao_USD/mo, dao_OCEAN/mo, dao_OCEAN_in_USD/mo, dao_total_in_USD/mo
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, inf, inf, 0, 1.5e+08, 0, 1.5e+08, 6.909e+08, 0, 0, 0, 0, 0, 0, 0.217108, 0, 0, -0.118, 0, 0, 0, 0
24, 86400, 1440, 24, 1, 0.0333333, 0.00273973, 1.0009, 666.961, 666.961, 667.256, 667.256, 1.33451, 1.33451, inf, inf, 40.0353, 1.50041e+08, 40.0353, 1.50041e+08, 6.909e+08, 0, 0.29448, 0, 0.29448, 0, 0.0639428, 0.217168, 1.63479e+06, 1.22501e+06, 0.415, 1.21491, 2.77778e+06, 603244, 603245
48, 172800, 2880, 48, 2, 0.0666667, 0.00547945, 1.00185, 1334.56, 1334.56, 1335.78, 1335.78, 2.67156, 2.67156, inf, inf, 80.1469, 1.50082e+08, 80.1469, 1.50082e+08, 6.909e+08, 0, 0.602254, 0, 0.602254, 0, 0.13079, 0.217227, 1.63479e+06, 611924, 0.415, 2.48501, 2.77778e+06, 603409, 603411
72, 259200, 4320, 72, 3, 0.1, 0.00821918, 1.0028, 2002.79, 2002.79, 2005.58, 2005.58, 4.01116, 4.01116, inf, inf, 120.335, 1.50123e+08, 120.335, 1.50123e+08, 6.909e+08, 0, 0.910529, 0, 0.910529, 0, 0.197765, 0.217287, 1.63479e+06, 407561, 0.415, 3.75753, 2.77778e+06, 603574, 603578
96, 345600, 5760, 96, 4, 0.133333, 0.0109589, 1.00376, 2671.65, 2671.65, 2676.65, 2676.65, 5.35331, 5.35331, inf, inf, 160.599, 1.50165e+08, 160.599, 1.50164e+08, 6.909e+08, 0, 1.21931, 0, 1.21931, 0, 0.264867, 0.217346, 1.63479e+06, 305380, 0.415, 5.03247, 2.77778e+06, 603740, 603745
120, 432000, 7200, 120, 5, 0.166667, 0.0136986, 1.00471, 3341.16, 3341.16, 3349.01, 3349.01, 6.69801, 6.69801, inf, inf, 200.94, 1.50206e+08, 200.94, 1.50206e+08, 6.909e+08, 0, 1.52859, 0, 1.52859, 0, 0.332097, 0.217406, 1.6348e+06, 244072, 0.415, 6.30983, 2.77778e+06, 603906, 603912
144, 518400, 8640, 144, 6, 0.2, 0.0164384, 1.00567, 4011.3, 4011.3, 4022.64, 4022.64, 8.04527, 8.04527, inf, inf, 241.358, 1.50247e+08, 241.358, 1.50247e+08, 6.909e+08, 0, 1.83837, 0, 1.83837, 0, 0.399454, 0.217466, 1.6348e+06, 203200, 0.415, 7.58963, 2.77778e+06, 604071, 604079
168, 604800, 10080, 168, 7, 0.233333, 0.0191781, 1.00663, 4682.07, 4682.07, 4697.55, 4697.55, 9.3951, 9.3951, inf, inf, 281.853, 1.50288e+08, 281.853, 1.50288e+08, 6.909e+08, 0, 2.14866, 0, 2.14866, 0, 0.46694, 0.217525, 1.6348e+06, 174005, 0.415, 8.87187, 2.77778e+06, 604237, 604246
192, 691200, 11520, 192, 8, 0.266667, 0.0219178, 1.00758, 5353.49, 5353.49, 5373.75, 5373.75, 10.7475, 10.7475, inf, inf, 322.425, 1.50329e+08, 322.425, 1.50329e+08, 6.909e+08, 0, 2.45945, 0, 2.45945, 0, 0.534555, 0.217585, 1.6348e+06, 152110, 0.415, 10.1565, 2.77778e+06, 604403, 604413
216, 777600, 12960, 216, 9, 0.3, 0.0246575, 1.00854, 6025.55, 6025.55, 6051.24, 6051.24, 12.1025, 12.1025, inf, inf, 363.074, 1.50371e+08, 363.074, 1.5037e+08, 6.909e+08, 0, 2.77076, 0, 2.77076, 0, 0.602298, 0.217645, 1.6348e+06, 135080, 0.415, 11.4437, 2.77778e+06, 604568, 604580
240, 864000, 14400, 240, 10, 0.333333, 0.0273973, 1.0095, 6698.24, 6698.24, 6730.01, 6730.01, 13.46, 13.46, inf, inf, 403.801, 1.50412e+08, 403.801, 1.50412e+08, 6.909e+08, 0, 3.08256, 0, 3.08256, 0, 0.670171, 0.217704, 1.6348e+06, 121456, 0.415, 12.7332, 2.77778e+06, 604734, 604747
